method;array_type;array_length;time_nanoseconds

SHELL_SORT_CIURA;0;50;1321
SHELL_SORT_CIURA;0;50;1243
SHELL_SORT_CIURA;0;50;1129
SHELL_SORT_CIURA;0;50;1186
SHELL_SORT_CIURA;0;50;980
SHELL_SORT_CIURA;0;50;943
SHELL_SORT_CIURA;0;50;1155
SHELL_SORT_CIURA;0;50;1039
SHELL_SORT_CIURA;0;50;1022
SHELL_SORT_CIURA;0;50;932
SHELL_SORT_CIURA;0;50;961
SHELL_SORT_CIURA;0;50;927
SHELL_SORT_CIURA;0;50;945
SHELL_SORT_CIURA;0;50;960
SHELL_SORT_CIURA;0;50;776
SHELL_SORT_CIURA;0;50;979
SHELL_SORT_CIURA;0;50;759
SHELL_SORT_CIURA;0;50;939
SHELL_SORT_CIURA;0;50;879
SHELL_SORT_CIURA;0;50;1131
SHELL_SORT_CIURA;0;50;920
SHELL_SORT_CIURA;0;50;1023
SHELL_SORT_CIURA;0;50;1068
SHELL_SORT_CIURA;0;50;941
SHELL_SORT_CIURA;0;50;998
SHELL_SORT_CIURA;0;50;882
SHELL_SORT_CIURA;0;50;934
SHELL_SORT_CIURA;0;50;897
SHELL_SORT_CIURA;0;50;1072
SHELL_SORT_CIURA;0;50;979
SHELL_SORT_CIURA;0;50;993
SHELL_SORT_CIURA;0;50;1028
SHELL_SORT_CIURA;0;50;1021
SHELL_SORT_CIURA;0;50;853
SHELL_SORT_CIURA;0;50;905
SHELL_SORT_CIURA;0;50;897
SHELL_SORT_CIURA;0;50;1065
SHELL_SORT_CIURA;0;50;909
SHELL_SORT_CIURA;0;50;945
SHELL_SORT_CIURA;0;50;820
SHELL_SORT_CIURA;0;50;936
SHELL_SORT_CIURA;0;50;896
SHELL_SORT_CIURA;0;50;1068
SHELL_SORT_CIURA;0;50;859
SHELL_SORT_CIURA;0;50;966
SHELL_SORT_CIURA;0;50;917
SHELL_SORT_CIURA;0;50;1033
SHELL_SORT_CIURA;0;50;927
SHELL_SORT_CIURA;0;50;1021
SHELL_SORT_CIURA;0;50;1041
SHELL_SORT_CIURA;1;50;1436
SHELL_SORT_CIURA;1;50;1320
SHELL_SORT_CIURA;1;50;1320
SHELL_SORT_CIURA;1;50;1422
SHELL_SORT_CIURA;1;50;1377
SHELL_SORT_CIURA;1;50;1459
SHELL_SORT_CIURA;1;50;1486
SHELL_SORT_CIURA;1;50;1398
SHELL_SORT_CIURA;1;50;1415
SHELL_SORT_CIURA;1;50;1245
SHELL_SORT_CIURA;1;50;1456
SHELL_SORT_CIURA;1;50;1328
SHELL_SORT_CIURA;1;50;1425
SHELL_SORT_CIURA;1;50;1365
SHELL_SORT_CIURA;1;50;1361
SHELL_SORT_CIURA;1;50;1427
SHELL_SORT_CIURA;1;50;1382
SHELL_SORT_CIURA;1;50;1378
SHELL_SORT_CIURA;1;50;1406
SHELL_SORT_CIURA;1;50;1402
SHELL_SORT_CIURA;1;50;1382
SHELL_SORT_CIURA;1;50;1287
SHELL_SORT_CIURA;1;50;1386
SHELL_SORT_CIURA;1;50;1370
SHELL_SORT_CIURA;1;50;1258
SHELL_SORT_CIURA;1;50;1343
SHELL_SORT_CIURA;1;50;1556
SHELL_SORT_CIURA;1;50;1433
SHELL_SORT_CIURA;1;50;1567
SHELL_SORT_CIURA;1;50;1324
SHELL_SORT_CIURA;1;50;1347
SHELL_SORT_CIURA;1;50;1248
SHELL_SORT_CIURA;1;50;1302
SHELL_SORT_CIURA;1;50;1439
SHELL_SORT_CIURA;1;50;1400
SHELL_SORT_CIURA;1;50;1413
SHELL_SORT_CIURA;1;50;1427
SHELL_SORT_CIURA;1;50;1479
SHELL_SORT_CIURA;1;50;1451
SHELL_SORT_CIURA;1;50;1465
SHELL_SORT_CIURA;1;50;1326
SHELL_SORT_CIURA;1;50;1407
SHELL_SORT_CIURA;1;50;1344
SHELL_SORT_CIURA;1;50;1404
SHELL_SORT_CIURA;1;50;1432
SHELL_SORT_CIURA;1;50;1550
SHELL_SORT_CIURA;1;50;1491
SHELL_SORT_CIURA;1;50;1511
SHELL_SORT_CIURA;1;50;1407
SHELL_SORT_CIURA;1;50;1500
SHELL_SORT_CIURA;2;50;629
SHELL_SORT_CIURA;2;50;713
SHELL_SORT_CIURA;2;50;417
SHELL_SORT_CIURA;2;50;392
SHELL_SORT_CIURA;2;50;457
SHELL_SORT_CIURA;2;50;348
SHELL_SORT_CIURA;2;50;296
SHELL_SORT_CIURA;2;50;448
SHELL_SORT_CIURA;2;50;590
SHELL_SORT_CIURA;2;50;477
SHELL_SORT_CIURA;2;50;366
SHELL_SORT_CIURA;2;50;677
SHELL_SORT_CIURA;2;50;365
SHELL_SORT_CIURA;2;50;532
SHELL_SORT_CIURA;2;50;300
SHELL_SORT_CIURA;2;50;375
SHELL_SORT_CIURA;2;50;367
SHELL_SORT_CIURA;2;50;316
SHELL_SORT_CIURA;2;50;294
SHELL_SORT_CIURA;2;50;417
SHELL_SORT_CIURA;2;50;653
SHELL_SORT_CIURA;2;50;313
SHELL_SORT_CIURA;2;50;305
SHELL_SORT_CIURA;2;50;420
SHELL_SORT_CIURA;2;50;281
SHELL_SORT_CIURA;2;50;274
SHELL_SORT_CIURA;2;50;510
SHELL_SORT_CIURA;2;50;414
SHELL_SORT_CIURA;2;50;257
SHELL_SORT_CIURA;2;50;314
SHELL_SORT_CIURA;2;50;439
SHELL_SORT_CIURA;2;50;825
SHELL_SORT_CIURA;2;50;241
SHELL_SORT_CIURA;2;50;276
SHELL_SORT_CIURA;2;50;711
SHELL_SORT_CIURA;2;50;289
SHELL_SORT_CIURA;2;50;642
SHELL_SORT_CIURA;2;50;341
SHELL_SORT_CIURA;2;50;329
SHELL_SORT_CIURA;2;50;263
SHELL_SORT_CIURA;2;50;262
SHELL_SORT_CIURA;2;50;483
SHELL_SORT_CIURA;2;50;692
SHELL_SORT_CIURA;2;50;337
SHELL_SORT_CIURA;2;50;402
SHELL_SORT_CIURA;2;50;386
SHELL_SORT_CIURA;2;50;460
SHELL_SORT_CIURA;2;50;634
SHELL_SORT_CIURA;2;50;651
SHELL_SORT_CIURA;2;50;311
SHELL_SORT_CIURA;3;50;966
SHELL_SORT_CIURA;3;50;593
SHELL_SORT_CIURA;3;50;485
SHELL_SORT_CIURA;3;50;466
SHELL_SORT_CIURA;3;50;395
SHELL_SORT_CIURA;3;50;1266
SHELL_SORT_CIURA;3;50;1323
SHELL_SORT_CIURA;3;50;1223
SHELL_SORT_CIURA;3;50;1172
SHELL_SORT_CIURA;3;50;1489
SHELL_SORT_CIURA;3;50;1210
SHELL_SORT_CIURA;3;50;1356
SHELL_SORT_CIURA;3;50;1161
SHELL_SORT_CIURA;3;50;1203
SHELL_SORT_CIURA;3;50;1418
SHELL_SORT_CIURA;3;50;1219
SHELL_SORT_CIURA;3;50;1191
SHELL_SORT_CIURA;3;50;1284
SHELL_SORT_CIURA;3;50;1260
SHELL_SORT_CIURA;3;50;1209
SHELL_SORT_CIURA;3;50;1193
SHELL_SORT_CIURA;3;50;1209
SHELL_SORT_CIURA;3;50;1157
SHELL_SORT_CIURA;3;50;1280
SHELL_SORT_CIURA;3;50;1151
SHELL_SORT_CIURA;3;50;1167
SHELL_SORT_CIURA;3;50;1168
SHELL_SORT_CIURA;3;50;1198
SHELL_SORT_CIURA;3;50;1336
SHELL_SORT_CIURA;3;50;1332
SHELL_SORT_CIURA;3;50;1257
SHELL_SORT_CIURA;3;50;1201
SHELL_SORT_CIURA;3;50;1475
SHELL_SORT_CIURA;3;50;1363
SHELL_SORT_CIURA;3;50;1206
SHELL_SORT_CIURA;3;50;1180
SHELL_SORT_CIURA;3;50;1167
SHELL_SORT_CIURA;3;50;1189
SHELL_SORT_CIURA;3;50;1139
SHELL_SORT_CIURA;3;50;1215
SHELL_SORT_CIURA;3;50;1225
SHELL_SORT_CIURA;3;50;1250
SHELL_SORT_CIURA;3;50;1203
SHELL_SORT_CIURA;3;50;1203
SHELL_SORT_CIURA;3;50;1327
SHELL_SORT_CIURA;3;50;1354
SHELL_SORT_CIURA;3;50;1399
SHELL_SORT_CIURA;3;50;1294
SHELL_SORT_CIURA;3;50;1276
SHELL_SORT_CIURA;3;50;1162
COUNT_SORT;0;50;1270
COUNT_SORT;0;50;843
COUNT_SORT;0;50;665
COUNT_SORT;0;50;778
COUNT_SORT;0;50;710
COUNT_SORT;0;50;840
COUNT_SORT;0;50;750
COUNT_SORT;0;50;669
COUNT_SORT;0;50;745
COUNT_SORT;0;50;803
COUNT_SORT;0;50;752
COUNT_SORT;0;50;649
COUNT_SORT;0;50;801
COUNT_SORT;0;50;596
COUNT_SORT;0;50;725
COUNT_SORT;0;50;632
COUNT_SORT;0;50;743
COUNT_SORT;0;50;721
COUNT_SORT;0;50;738
COUNT_SORT;0;50;742
COUNT_SORT;0;50;765
COUNT_SORT;0;50;642
COUNT_SORT;0;50;691
COUNT_SORT;0;50;673
COUNT_SORT;0;50;923
COUNT_SORT;0;50;643
COUNT_SORT;0;50;914
COUNT_SORT;0;50;1006
COUNT_SORT;0;50;958
